Year,Quarter,LGA (Local Government Areas),Dwelling Types,Bedroom Numbers,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged,,,
2015,Fourth,Bourke - Cobar - Coonamble,Flat/Unit,Total,-,-,-,37,357,-,-,-,-,,,
2015,Fourth,Broken Hill and Far West,Flat/Unit,Total,-,-,-,14,287,-,-,-,-,,,
2015,Fourth,Dubbo,Flat/Unit,Total,-,-,-,136,1276,-,-,-,-,,,
2015,Fourth,Lower Hunter,Flat/Unit,Total,-,-,-,175,1404,-,-,-,-,,,
2015,Fourth,Upper Hunter,Flat/Unit,Total,-,-,-,36,483,-,-,-,-,,,
2015,Fourth,Great Lakes,Flat/Unit,Total,-,-,-,119,1068,-,-,-,-,,,
2015,Fourth,Kempsey - Nambucca,Flat/Unit,Total,-,-,-,97,968,-,-,-,-,,,
2015,Fourth,Port Macquarie,Flat/Unit,Total,-,-,-,219,2170,-,-,-,-,,,
2015,Fourth,Taree - Gloucester,Flat/Unit,Total,-,-,-,117,1213,-,-,-,-,,,
2015,Fourth,Albury,Flat/Unit,Total,-,-,-,223,2039,-,-,-,-,,,
2015,Fourth,Lower Murray,Flat/Unit,Total,-,-,-,11,216,-,-,-,-,,,
2015,Fourth,Upper Murray exc. Albury,Flat/Unit,Total,-,-,-,119,1035,-,-,-,-,,,
2015,Fourth,Armidale,Flat/Unit,Total,-,-,-,156,1323,-,-,-,-,,,
2015,Fourth,Inverell - Tenterfield,Flat/Unit,Total,-,-,-,63,602,-,-,-,-,,,
2015,Fourth,Moree - Narrabri,Flat/Unit,Total,-,-,-,68,722,-,-,-,-,,,
2015,Fourth,Tamworth - Gunnedah,Flat/Unit,Total,-,-,-,264,2097,-,-,-,-,,,
2015,Fourth,Richmond Valley - Coastal,Flat/Unit,Total,-,-,-,222,2163,-,-,-,-,,,
2015,Fourth,Richmond Valley - Hinterland,Flat/Unit,Total,-,-,-,138,1700,-,-,-,-,,,
2015,Fourth,Tweed Valley,Flat/Unit,Total,-,-,-,267,2943,-,-,-,-,,,
2015,Fourth,Griffith - Murrumbidgee (West),Flat/Unit,Total,-,-,-,118,1241,-,-,-,-,,,
2015,Fourth,Tumut - Tumbarumba,Flat/Unit,Total,-,-,-,27,264,-,-,-,-,,,
2015,Fourth,Wagga Wagga,Flat/Unit,Total,-,-,-,187,2139,-,-,-,-,,,
2015,Fourth,Shoalhaven,Flat/Unit,Total,-,-,-,119,1192,-,-,-,-,,,
2015,Fourth,Southern Highlands,Flat/Unit,Total,-,-,-,49,519,-,-,-,-,,,
2015,Fourth,Ashfield,House,Total,-,-,-,44,558,-,-,-,-,,,
2015,Fourth,Botany Bay,House,Total,-,-,-,53,576,-,-,-,-,,,
2015,Fourth,Lane Cove,House,Total,-,-,-,76,535,-,-,-,-,,,
2015,Fourth,Leichhardt,House,Total,-,-,-,144,1812,-,-,-,-,,,
2015,Fourth,Marrickville,House,Total,-,-,-,236,2122,-,-,-,-,,,
2015,Fourth,Mosman,House,Total,-,-,-,59,479,-,-,-,-,,,
2015,Fourth,North Sydney,House,Total,-,-,-,87,614,-,-,-,-,,,
2015,Fourth,Randwick,House,Total,-,-,-,167,1550,-,-,-,-,,,
2015,Fourth,Sydney,House,Total,-,-,-,159,1217,-,-,-,-,,,
2015,Fourth,Waverley,House,Total,-,-,-,73,618,-,-,-,-,,,
2015,Fourth,Woollahra,House,Total,-,-,-,73,488,-,-,-,-,,,
2015,Fourth,Ashfield,Flat/Unit,Total,-,-,-,377,4250,-,-,-,-,,,
2015,Fourth,Botany Bay,Flat/Unit,Total,-,-,-,564,4465,-,-,-,-,,,
2015,Fourth,Lane Cove,Flat/Unit,Total,-,-,-,360,2836,-,-,-,-,,,
2015,Fourth,Leichhardt,Flat/Unit,Total,-,-,-,356,3490,-,-,-,-,,,
2015,Fourth,Marrickville,Flat/Unit,Total,-,-,-,676,7415,-,-,-,-,,,
2015,Fourth,Mosman,Flat/Unit,Total,-,-,-,248,2677,-,-,-,-,,,
2015,Fourth,North Sydney,Flat/Unit,Total,-,-,-,1259,12346,-,-,-,-,,,
2015,Fourth,Randwick,Flat/Unit,Total,-,-,-,1250,13291,-,-,-,-,,,
2015,Fourth,Sydney,Flat/Unit,Total,-,-,-,3875,34310,-,-,-,-,,,
2015,Fourth,Waverley,Flat/Unit,Total,-,-,-,960,9724,-,-,-,-,,,
2015,Fourth,Woollahra,Flat/Unit,Total,-,-,-,632,5697,-,-,-,-,,,
2015,Fourth,Ashfield,Total,Total,-,-,-,597,7568,0.6,2,-2.5,-2.5,,,
2015,Fourth,Botany Bay,Total,Total,-,-,-,741,6693,4.2,17.3,2.2,34,,,
2015,Fourth,Lane Cove,Total,Total,-,-,-,561,4452,4.3,7.8,31.1,29.6,,,
2015,Fourth,Leichhardt,Total,Total,-,-,-,889,9535,0.6,0.5,-4.5,1.4,,,
2015,Fourth,Marrickville,Total,Total,-,-,-,1458,17294,1.6,3.1,-4.1,1.6,,,
2015,Fourth,Mosman,Total,Total,-,-,-,410,4565,0.8,1,-18.3,-2.8,,,
2015,Fourth,North Sydney,Total,Total,-,-,-,1774,18461,1.5,1.5,2.1,0.6,,,
2015,Fourth,Randwick,Total,Total,-,-,-,2017,23622,1,2.4,-7.5,-1.5,,,
2015,Fourth,Sydney,Total,Total,-,-,-,6475,58933,2,7.1,-9,1.2,,,
2015,Fourth,Waverley,Total,Total,-,-,-,1341,15650,1.4,0.8,-10,0.1,,,
2015,Fourth,Woollahra,Total,Total,-,-,-,985,10865,1.4,0.5,-3,-0.7,,,
2015,Fourth,Auburn,House,Total,-,-,-,156,1860,-,-,-,-,,,
2015,Fourth,Bankstown,House,Total,-,-,-,412,4349,-,-,-,-,,,
2015,Fourth,Burwood,House,Total,-,-,-,40,477,-,-,-,-,,,
2015,Fourth,Canterbury,House,Total,-,-,-,217,2697,-,-,-,-,,,
2015,Fourth,Canada Bay,House,Total,-,-,-,136,1273,-,-,-,-,,,
2015,Fourth,Hunters Hill,House,Total,-,-,-,21,208,-,-,-,-,,,
2015,Fourth,Hurstville,House,Total,-,-,-,133,1589,-,-,-,-,,,
2015,Fourth,Kogarah,House,Total,-,-,-,97,1142,-,-,-,-,,,
2015,Fourth,Ku-ring-gai,House,Total,-,-,-,239,2220,-,-,-,-,,,
2015,Fourth,Manly,House,Total,-,-,-,86,578,-,-,-,-,,,
2015,Fourth,Parramatta,House,Total,-,-,-,341,3609,-,-,-,-,,,
2015,Fourth,Rockdale,House,Total,-,-,-,150,2254,-,-,-,-,,,
2015,Fourth,Ryde,House,Total,-,-,-,209,2001,-,-,-,-,,,
2015,Fourth,Strathfield,House,Total,-,-,-,53,556,-,-,-,-,,,
2015,Fourth,Willoughby,House,Total,-,-,-,150,1291,-,-,-,-,,,
2015,Fourth,Auburn,Flat/Unit,Total,-,-,-,769,6168,-,-,-,-,,,
2015,Fourth,Bankstown,Flat/Unit,Total,-,-,-,263,3190,-,-,-,-,,,
2015,Fourth,Burwood,Flat/Unit,Total,-,-,-,210,2188,-,-,-,-,,,
2015,Fourth,Canterbury,Flat/Unit,Total,-,-,-,770,8632,-,-,-,-,,,
2015,Fourth,Canada Bay,Flat/Unit,Total,-,-,-,758,6499,-,-,-,-,,,
2015,Fourth,Hunters Hill,Flat/Unit,Total,-,-,-,43,407,-,-,-,-,,,
2015,Fourth,Hurstville,Flat/Unit,Total,-,-,-,408,3865,-,-,-,-,,,
2015,Fourth,Kogarah,Flat/Unit,Total,-,-,-,273,2779,-,-,-,-,,,
2015,Fourth,Ku-ring-gai,Flat/Unit,Total,-,-,-,275,2840,-,-,-,-,,,
2015,Fourth,Manly,Flat/Unit,Total,-,-,-,437,4142,-,-,-,-,,,
2015,Fourth,Parramatta,Flat/Unit,Total,-,-,-,1404,11120,-,-,-,-,,,
2015,Fourth,Rockdale,Flat/Unit,Total,-,-,-,1007,7880,-,-,-,-,,,
2015,Fourth,Ryde,Flat/Unit,Total,-,-,-,959,7620,-,-,-,-,,,
2015,Fourth,Strathfield,Flat/Unit,Total,-,-,-,355,3029,-,-,-,-,,,
2015,Fourth,Willoughby,Flat/Unit,Total,-,-,-,542,5329,-,-,-,-,,,
2015,Fourth,Auburn,Total,Total,-,-,-,1259,11491,3.4,9.8,8,10.9,,,
2015,Fourth,Bankstown,Total,Total,-,-,-,1197,13677,1.7,5.8,-3.5,6.4,,,
2015,Fourth,Burwood,Total,Total,-,-,-,444,4874,0,1.5,3,-1.8,,,
2015,Fourth,Canterbury,Total,Total,-,-,-,1485,18488,1.3,5.1,-5.2,4.2,,,
2015,Fourth,Canada Bay,Total,Total,-,-,-,1195,11630,1,3.1,-6.9,-0.3,,,
2015,Fourth,Hunters Hill,Total,Total,-,-,-,87,942,0.4,3,0,11.5,,,
2015,Fourth,Hurstville,Total,Total,-,-,-,801,8641,2,4.8,1,16.3,,,
2015,Fourth,Kogarah,Total,Total,-,-,-,532,5670,1.9,4.9,15.9,20.6,,,
2015,Fourth,Ku-ring-gai,Total,Total,-,-,-,669,6740,0.5,3.5,-5.5,-9,,,
2015,Fourth,Manly,Total,Total,-,-,-,662,6886,1.1,0.8,-2.6,3.1,,,
2015,Fourth,Parramatta,Total,Total,-,-,-,2480,22851,2.8,4.7,24.5,26,,,
2015,Fourth,Rockdale,Total,Total,-,-,-,1461,14128,3.3,8.9,13.2,8.4,,,
2015,Fourth,Ryde,Total,Total,-,-,-,1552,14381,2.2,8.6,2.6,23.3,,,
2015,Fourth,Strathfield,Total,Total,-,-,-,553,5167,1.8,5.9,6.1,11,,,
2015,Fourth,Willoughby,Total,Total,-,-,-,982,10293,1.5,3.7,-2.6,0.8,,,
2015,Fourth,The Hills Shire,House,Total,-,-,-,564,4398,-,-,-,-,,,
2015,Fourth,Blacktown,House,Total,-,-,-,1404,13546,-,-,-,-,,,
2015,Fourth,Blue Mountains,House,Total,-,-,-,312,3335,-,-,-,-,,,
2015,Fourth,Camden,House,Total,-,-,-,407,3059,-,-,-,-,,,
2015,Fourth,Campbelltown,House,Total,-,-,-,603,6203,-,-,-,-,,,
2015,Fourth,Fairfield,House,Total,-,-,-,508,5755,-,-,-,-,,,
2015,Fourth,Gosford,House,Total,-,-,-,621,6299,-,-,-,-,,,
2015,Fourth,Hawkesbury,House,Total,-,-,-,208,2155,-,-,-,-,,,
2015,Fourth,Holroyd,House,Total,-,-,-,271,2847,-,-,-,-,,,
2015,Fourth,Hornsby,House,Total,-,-,-,294,3251,-,-,-,-,,,
2015,Fourth,Liverpool,House,Total,-,-,-,593,6096,-,-,-,-,,,
2015,Fourth,Penrith,House,Total,-,-,-,878,8005,-,-,-,-,,,
2015,Fourth,Pittwater,House,Total,-,-,-,120,1192,-,-,-,-,,,
2015,Fourth,Sutherland,House,Total,-,-,-,340,3104,-,-,-,-,,,
2015,Fourth,Warringah,House,Total,-,-,-,236,2433,-,-,-,-,,,
2015,Fourth,Wollondilly,House,Total,-,-,-,148,1280,-,-,-,-,,,
2015,Fourth,Wyong,House,Total,-,-,-,916,8249,-,-,-,-,,,
2015,Fourth,The Hills Shire,Flat/Unit,Total,-,-,-,238,1910,-,-,-,-,,,
2015,Fourth,Blacktown,Flat/Unit,Total,-,-,-,373,3229,-,-,-,-,,,
2015,Fourth,Blue Mountains,Flat/Unit,Total,-,-,-,76,714,-,-,-,-,,,
2015,Fourth,Camden,Flat/Unit,Total,-,-,-,37,234,-,-,-,-,,,
2015,Fourth,Campbelltown,Flat/Unit,Total,-,-,-,211,1398,-,-,-,-,,,
2015,Fourth,Fairfield,Flat/Unit,Total,-,-,-,323,4125,-,-,-,-,,,
2015,Fourth,Gosford,Flat/Unit,Total,-,-,-,354,3704,-,-,-,-,,,
2015,Fourth,Hawkesbury,Flat/Unit,Total,-,-,-,44,575,-,-,-,-,,,
2015,Fourth,Holroyd,Flat/Unit,Total,-,-,-,490,4772,-,-,-,-,,,
2015,Fourth,Hornsby,Flat/Unit,Total,-,-,-,409,4116,-,-,-,-,,,
2015,Fourth,Liverpool,Flat/Unit,Total,-,-,-,466,4678,-,-,-,-,,,
2015,Fourth,Penrith,Flat/Unit,Total,-,-,-,247,2494,-,-,-,-,,,
2015,Fourth,Pittwater,Flat/Unit,Total,-,-,-,163,1488,-,-,-,-,,,
2015,Fourth,Sutherland,Flat/Unit,Total,-,-,-,740,7596,-,-,-,-,,,
2015,Fourth,Warringah,Flat/Unit,Total,-,-,-,731,7770,-,-,-,-,,,
2015,Fourth,Wollondilly,Flat/Unit,Total,-,-,-,21,196,-,-,-,-,,,
2015,Fourth,Wyong,Flat/Unit,Total,-,-,-,283,2672,-,-,-,-,,,
2015,Fourth,The Hills Shire,Total,Total,-,-,-,1136,10060,2.4,8.8,-3.1,5.3,,,
2015,Fourth,Blacktown,Total,Total,-,-,-,2532,25038,2.6,7.9,3.4,8.9,,,
2015,Fourth,Blue Mountains,Total,Total,-,-,-,483,5331,0,-0.8,14.2,-3.6,,,
2015,Fourth,Camden,Total,Total,-,-,-,560,4284,3.9,12.6,14.8,22,,,
2015,Fourth,Campbelltown,Total,Total,-,-,-,1164,11476,2.6,7.9,1.1,11.8,,,
2015,Fourth,Fairfield,Total,Total,-,-,-,1332,16184,1.3,4.3,2.1,14.8,,,
2015,Fourth,Gosford,Total,Total,-,-,-,1472,15362,1.1,2.9,-11.6,1,,,
2015,Fourth,Hawkesbury,Total,Total,-,-,-,415,4693,1.8,2.2,1.2,2.7,,,
2015,Fourth,Holroyd,Total,Total,-,-,-,1107,11885,2,3.9,10.7,13.2,,,
2015,Fourth,Hornsby,Total,Total,-,-,-,1048,11115,0.8,4.5,-5.5,12.2,,,
2015,Fourth,Liverpool,Total,Total,-,-,-,1400,15364,2.1,6.6,-4,10.9,,,
2015,Fourth,Penrith,Total,Total,-,-,-,1660,17277,2.5,8.3,-3.3,7.9,,,
2015,Fourth,Pittwater,Total,Total,-,-,-,422,4442,-0.1,0.3,-1.6,-6.6,,,
2015,Fourth,Sutherland,Total,Total,-,-,-,1522,15883,1,1.4,1.2,3.1,,,
2015,Fourth,Warringah,Total,Total,-,-,-,1274,13959,1.3,2.8,-11.8,-1.2,,,
2015,Fourth,Wollondilly,Total,Total,-,-,-,244,2107,2.5,6.1,19,18.4,,,
2015,Fourth,Wyong,Total,Total,-,-,-,1494,15074,1.5,2.7,0.3,6.1,,,
2015,Fourth,Cessnock,House,Total,-,-,-,275,2974,-,-,-,-,,,
2015,Fourth,Kiama,House,Total,-,-,-,68,647,-,-,-,-,,,
2015,Fourth,Lake Macquarie,House,Total,-,-,-,665,6881,-,-,-,-,,,
2015,Fourth,Maitland,House,Total,-,-,-,387,3891,-,-,-,-,,,
2015,Fourth,Newcastle,House,Total,-,-,-,617,6375,-,-,-,-,,,
2015,Fourth,Port Stephens,House,Total,-,-,-,334,2803,-,-,-,-,,,
2015,Fourth,Shellharbour,House,Total,-,-,-,224,2131,-,-,-,-,,,
2015,Fourth,Wollongong,House,Total,-,-,-,532,5368,-,-,-,-,,,
2015,Fourth,Cessnock,Flat/Unit,Total,-,-,-,97,866,-,-,-,-,,,
2015,Fourth,Kiama,Flat/Unit,Total,-,-,-,32,324,-,-,-,-,,,
2015,Fourth,Lake Macquarie,Flat/Unit,Total,-,-,-,206,2237,-,-,-,-,,,
2015,Fourth,Maitland,Flat/Unit,Total,-,-,-,121,1320,-,-,-,-,,,
2015,Fourth,Newcastle,Flat/Unit,Total,-,-,-,598,5154,-,-,-,-,,,
2015,Fourth,Port Stephens,Flat/Unit,Total,-,-,-,103,1020,-,-,-,-,,,
2015,Fourth,Shellharbour,Flat/Unit,Total,-,-,-,78,930,-,-,-,-,,,
2015,Fourth,Wollongong,Flat/Unit,Total,-,-,-,794,7715,-,-,-,-,,,
2015,Fourth,Cessnock,Total,Total,-,-,-,459,4895,0.2,4,-12.1,-9.3,,,
2015,Fourth,Kiama,Total,Total,-,-,-,138,1497,1.2,3,-9.2,-1.4,,,
2015,Fourth,Lake Macquarie,Total,Total,-,-,-,1230,13240,1.1,3.6,-5.5,5.3,,,
2015,Fourth,Maitland,Total,Total,-,-,-,698,6780,0.6,4.6,-3.6,-3.2,,,
2015,Fourth,Newcastle,Total,Total,-,-,-,2121,20143,0,2.5,-9.4,12.2,,,
2015,Fourth,Port Stephens,Total,Total,-,-,-,587,5523,1.8,3,-3.5,3.5,,,
2015,Fourth,Shellharbour,Total,Total,-,-,-,432,4539,0.9,2.9,-0.5,0.7,,,
2015,Fourth,Wollongong,Total,Total,-,-,-,1796,18522,1.3,2.8,6.9,1.3,,,
2016,Third,Ashfield,Total,1 Bedroom,-,395,-,-,-,2.6,-,-,-,,,
2016,Third,Botany Bay,Total,1 Bedroom,-,580,-,-,-,-3.3,-,-,-,,,
2016,Third,Lane Cove,Total,1 Bedroom,-,500,-,-,-,-2,-,-,-,,,
2016,Third,Leichhardt,Total,1 Bedroom,-,460,-,-,-,0,-,-,-,,,
2016,Third,Marrickville,Total,1 Bedroom,-,430,-,-,-,3,-,-,-,,,
2016,Third,Mosman,Total,1 Bedroom,-,475,-,-,-,-5,-,-,-,,,
2016,Third,North Sydney,Total,1 Bedroom,-,520,-,-,-,4,-,-,-,,,
2016,Third,Randwick,Total,1 Bedroom,-,500,-,-,-,0,-,-,-,,,
2016,Third,Sydney,Total,1 Bedroom,-,530,-,-,-,-1.9,-,-,-,,,
2016,Third,Waverley,Total,1 Bedroom,-,550,-,-,-,0,-,-,-,,,
2016,Third,Woollahra,Total,1 Bedroom,-,490,-,-,-,-3,-,-,-,,,
2016,Third,Ashfield,Total,2 Bedrooms,-,480,-,-,-,0,-,-,-,,,
2016,Third,Botany Bay,Total,2 Bedrooms,-,630,-,-,-,0,-,-,-,,,
2016,Third,Lane Cove,Total,2 Bedrooms,-,590,-,-,-,1.7,-,-,-,,,
2016,Third,Leichhardt,Total,2 Bedrooms,-,700,-,-,-,0,-,-,-,,,
2016,Third,Marrickville,Total,2 Bedrooms,-,570,-,-,-,0,-,-,-,,,
2016,Third,Mosman,Total,2 Bedrooms,-,650,-,-,-,0,-,-,-,,,
2016,Third,North Sydney,Total,2 Bedrooms,-,685,-,-,-,3.8,-,-,-,,,
2016,Third,Randwick,Total,2 Bedrooms,-,620,-,-,-,-1.6,-,-,-,,,
2016,Third,Sydney,Total,2 Bedrooms,-,750,-,-,-,0,-,-,-,,,
2016,Third,Waverley,Total,2 Bedrooms,-,725,-,-,-,0.7,-,-,-,,,
2016,Third,Woollahra,Total,2 Bedrooms,-,700,-,-,-,0,-,-,-,,,
2016,Third,Ashfield,Total,3 Bedrooms,-,700,-,-,-,6.1,-,-,-,,,
2016,Third,Botany Bay,Total,3 Bedrooms,-,750,-,-,-,0,-,-,-,,,
2016,Third,Lane Cove,Total,3 Bedrooms,-,800,-,-,-,1.3,-,-,-,,,
2016,Third,Leichhardt,Total,3 Bedrooms,-,895,-,-,-,-0.6,-,-,-,,,
2016,Third,Marrickville,Total,3 Bedrooms,-,798,-,-,-,1.6,-,-,-,,,
2016,Third,Mosman,Total,3 Bedrooms,-,1140,-,-,-,3.6,-,-,-,,,
2016,Third,North Sydney,Total,3 Bedrooms,-,990,-,-,-,4.2,-,-,-,,,
2016,Third,Randwick,Total,3 Bedrooms,-,880,-,-,-,0.6,-,-,-,,,
2016,Third,Sydney,Total,3 Bedrooms,-,1000,-,-,-,0,-,-,-,,,
2016,Third,Waverley,Total,3 Bedrooms,-,1070,-,-,-,3.4,-,-,-,,,
2016,Third,Woollahra,Total,3 Bedrooms,-,1150,-,-,-,-4.2,-,-,-,,,
2016,Third,Ashfield,Total,4 or more Bedrooms,-,850,-,-,-,4.6,-,-,-,,,
2016,Third,Botany Bay,Total,4 or more Bedrooms,-,1000,-,-,-,-,-,-,-,,,
2016,Third,Lane Cove,Total,4 or more Bedrooms,-,1275,-,-,-,-1.9,-,-,-,,,
2016,Third,Leichhardt,Total,4 or more Bedrooms,-,1100,-,-,-,-7.4,-,-,-,,,
2016,Third,Marrickville,Total,4 or more Bedrooms,-,1000,-,-,-,-9.1,-,-,-,,,
2016,Third,Mosman,Total,4 or more Bedrooms,-,2100,-,-,-,5,-,-,-,,,
2016,Third,North Sydney,Total,4 or more Bedrooms,-,1450,-,-,-,-3.3,-,-,-,,,
2016,Third,Randwick,Total,4 or more Bedrooms,-,1300,-,-,-,8.3,-,-,-,,,
2016,Third,Sydney,Total,4 or more Bedrooms,-,1250,-,-,-,8.7,-,-,-,,,
2016,Third,Waverley,Total,4 or more Bedrooms,-,1550,-,-,-,-6.1,-,-,-,,,
2016,Third,Woollahra,Total,4 or more Bedrooms,-,1890,-,-,-,5.1,-,-,-,,,
2016,Third,Auburn,Total,1 Bedroom,-,460,-,-,-,-0.5,-,-,-,,,
2016,Third,Bankstown,Total,1 Bedroom,-,290,-,-,-,7.4,-,-,-,,,
2016,Third,Burwood,Total,1 Bedroom,-,495,-,-,-,-1,-,-,-,,,
2016,Third,Canterbury,Total,1 Bedroom,-,410,-,-,-,28.1,-,-,-,,,
2016,Third,Canada Bay,Total,1 Bedroom,-,533,-,-,-,0.5,-,-,-,,,
2016,Third,Hunters Hill,Total,1 Bedroom,-,-,-,-,-,-,-,-,-,,,
2016,Third,Hurstville,Total,1 Bedroom,-,440,-,-,-,10,-,-,-,,,
2016,Third,Kogarah,Total,1 Bedroom,-,390,-,-,-,-2.5,-,-,-,,,
2016,Third,Ku-ring-gai,Total,1 Bedroom,-,485,-,-,-,-3,-,-,-,,,
2016,Third,Manly,Total,1 Bedroom,-,550,-,-,-,-4.8,-,-,-,,,
2016,Third,Parramatta,Total,1 Bedroom,-,400,-,-,-,6.7,-,-,-,,,
2016,Third,Rockdale,Total,1 Bedroom,-,480,-,-,-,2.1,-,-,-,,,
2016,Third,Ryde,Total,1 Bedroom,-,470,-,-,-,4.4,-,-,-,,,
2016,Third,Strathfield,Total,1 Bedroom,-,430,-,-,-,-2.3,-,-,-,,,
2016,Third,Willoughby,Total,1 Bedroom,-,560,-,-,-,3.7,-,-,-,,,
2016,Third,Auburn,Total,2 Bedrooms,-,530,-,-,-,6,-,-,-,,,
2016,Third,Bankstown,Total,2 Bedrooms,-,420,-,-,-,0,-,-,-,,,
2016,Third,Burwood,Total,2 Bedrooms,-,600,-,-,-,3.4,-,-,-,,,
2016,Third,Canterbury,Total,2 Bedrooms,-,420,-,-,-,5,-,-,-,,,
2016,Third,Canada Bay,Total,2 Bedrooms,-,640,-,-,-,1.6,-,-,-,,,
2016,Third,Hunters Hill,Total,2 Bedrooms,-,500,-,-,-,-18.7,-,-,-,,,
2016,Third,Hurstville,Total,2 Bedrooms,-,490,-,-,-,8.9,-,-,-,,,
2016,Third,Kogarah,Total,2 Bedrooms,-,480,-,-,-,2.1,-,-,-,,,
2016,Third,Ku-ring-gai,Total,2 Bedrooms,-,620,-,-,-,-1.6,-,-,-,,,
2016,Third,Manly,Total,2 Bedrooms,-,750,-,-,-,3.8,-,-,-,,,
2016,Third,Parramatta,Total,2 Bedrooms,-,460,-,-,-,2.2,-,-,-,,,
2016,Third,Rockdale,Total,2 Bedrooms,-,550,-,-,-,5.8,-,-,-,,,
2016,Third,Ryde,Total,2 Bedrooms,-,495,-,-,-,3.1,-,-,-,,,
2016,Third,Strathfield,Total,2 Bedrooms,-,520,-,-,-,1,-,-,-,,,
2016,Third,Willoughby,Total,2 Bedrooms,-,690,-,-,-,0.7,-,-,-,,,
2016,Third,Auburn,Total,3 Bedrooms,-,580,-,-,-,5.5,-,-,-,,,
2016,Third,Bankstown,Total,3 Bedrooms,-,500,-,-,-,0,-,-,-,,,
2016,Third,Burwood,Total,3 Bedrooms,-,690,-,-,-,-1.1,-,-,-,,,
2016,Third,Canterbury,Total,3 Bedrooms,-,570,-,-,-,-1.7,-,-,-,,,
2016,Third,Canada Bay,Total,3 Bedrooms,-,793,-,-,-,0.3,-,-,-,,,
2016,Third,Hunters Hill,Total,3 Bedrooms,-,925,-,-,-,2.8,-,-,-,,,
2016,Third,Hurstville,Total,3 Bedrooms,-,600,-,-,-,3.4,-,-,-,,,
2016,Third,Kogarah,Total,3 Bedrooms,-,580,-,-,-,-1.7,-,-,-,,,
2016,Third,Ku-ring-gai,Total,3 Bedrooms,-,790,-,-,-,-1.3,-,-,-,,,
2016,Third,Manly,Total,3 Bedrooms,-,1063,-,-,-,-3.4,-,-,-,,,
2016,Third,Parramatta,Total,3 Bedrooms,-,530,-,-,-,1.9,-,-,-,,,
2016,Third,Rockdale,Total,3 Bedrooms,-,640,-,-,-,-1.5,-,-,-,,,
2016,Third,Ryde,Total,3 Bedrooms,-,660,-,-,-,0,-,-,-,,,
2016,Third,Strathfield,Total,3 Bedrooms,-,630,-,-,-,5,-,-,-,,,
2016,Third,Willoughby,Total,3 Bedrooms,-,950,-,-,-,8.3,-,-,-,,,
2016,Third,Auburn,Total,4 or more Bedrooms,-,670,-,-,-,3.1,-,-,-,,,
2016,Third,Bankstown,Total,4 or more Bedrooms,-,650,-,-,-,0,-,-,-,,,
2016,Third,Burwood,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2016,Third,Canterbury,Total,4 or more Bedrooms,-,700,-,-,-,1.4,-,-,-,,,
2016,Third,Canada Bay,Total,4 or more Bedrooms,-,850,-,-,-,-11,-,-,-,,,
2016,Third,Hunters Hill,Total,4 or more Bedrooms,-,-,-,-,-,-,-,-,-,,,
2016,Third,Hurstville,Total,4 or more Bedrooms,-,695,-,-,-,1.5,-,-,-,,,
2016,Third,Kogarah,Total,4 or more Bedrooms,-,800,-,-,-,5.3,-,-,-,,,
2016,Third,Ku-ring-gai,Total,4 or more Bedrooms,-,1150,-,-,-,9.5,-,-,-,,,
2016,Third,Manly,Total,4 or more Bedrooms,-,1600,-,-,-,-4.5,-,-,-,,,
2016,Third,Parramatta,Total,4 or more Bedrooms,-,650,-,-,-,3.2,-,-,-,,,
2016,Third,Rockdale,Total,4 or more Bedrooms,-,810,-,-,-,5.2,-,-,-,,,
2016,Third,Ryde,Total,4 or more Bedrooms,-,800,-,-,-,-3.3,-,-,-,,,
2016,Third,Strathfield,Total,4 or more Bedrooms,-,820,-,-,-,5.1,-,-,-,,,
2016,Third,Willoughby,Total,4 or more Bedrooms,-,1300,-,-,-,0.8,-,-,-,,,
2016,Third,The Hills Shire,Total,1 Bedroom,-,410,-,-,-,3.8,-,-,-,,,
2016,Third,Blacktown,Total,1 Bedroom,-,290,-,-,-,7.4,-,-,-,,,
2016,Third,Blue Mountains,Total,1 Bedroom,-,278,-,-,-,2.8,-,-,-,,,
2016,Third,Camden,Total,1 Bedroom,-,320,-,-,-,8.5,-,-,-,,,
2016,Third,Campbelltown,Total,1 Bedroom,-,280,-,-,-,-3.4,-,-,-,,,
2016,Third,Fairfield,Total,1 Bedroom,-,270,-,-,-,8,-,-,-,,,
2016,Third,Gosford,Total,1 Bedroom,-,270,-,-,-,0,-,-,-,,,
2016,Third,Hawkesbury,Total,1 Bedroom,-,250,-,-,-,-10.7,-,-,-,,,
2016,Third,Holroyd,Total,1 Bedroom,-,320,-,-,-,0,-,-,-,,,
2016,Third,Hornsby,Total,1 Bedroom,-,400,-,-,-,-2.4,-,-,-,,,
2016,Third,Liverpool,Total,1 Bedroom,-,290,-,-,-,0,-,-,-,,,
2016,Third,Penrith,Total,1 Bedroom,-,250,-,-,-,0,-,-,-,,,
2016,Third,Pittwater,Total,1 Bedroom,-,450,-,-,-,5.9,-,-,-,,,
2016,Third,Sutherland,Total,1 Bedroom,-,370,-,-,-,0,-,-,-,,,
